N,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
500,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
10000,0,0,1,1,0,0,0,0,0
20000,0,0,1,1,0,0,0,0,0
40000,0,0,5,5,0,0,1,1,1
80000,2,1,17,17,1,0,1,2,2
120000,2,1,43,43,1,3,4,5,3
180000,4,2,93,93,3,6,5,10,4
